time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
3500,2022-05-13 16:28:15,-34.4376624416779,-59.0521548758529,0,,,89.378347348296,0.656168,0,0.0192709323752,0.097771656672,17,10,24.936,89.378347348296,0,0,0.0228809718608,0,0,0,239.3, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,3.774,78.08,89.378347348296,0,10,Assisted_Takeoff,
3600,2022-05-13 16:28:15,-34.4376624568599,-59.0521548784453,0,,,89.378347348296,0.656168,0,0.0193702105936,0.103365160788,17,10,24.936,89.378347348296,0,0,0.0228809718608,0,0,0,239.2, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,3.774,78.08,89.378347348296,0,10,Assisted_Takeoff,
3700,2022-05-13 16:28:15,-34.4376624705479,-59.052154880291,0,,,89.378347348296,0.656168,0,0.0206493116844,0.108390095332,17,10,24.936,89.378347348296,0,0,0.0228809718608,0,0,0,239.3, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,3.774,78.08,89.378347348296,0,10,Assisted_Takeoff,
3800,2022-05-13 16:28:15,-34.4376624846327,-59.0521548840417,0,,,89.378347348296,0.656168,0,0.0235568905176,0.11365157844,17,10,24.936,89.378347348296,0,0,0.0235568905176,0,0,0,239.3, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,3.774,78.08,89.378347348296,0,10,Assisted_Takeoff,
3900,2022-05-13 16:28:15,-34.4376624918187,-59.0521548708549,0,,,89.378347348296,0.656168,0,0.0215860899296,0.118407484104,17,10,25.116,89.378347348296,0,0,0.0235568905176,0,0,0,239.2, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.692,78.08,89.378347348296,0,10,Assisted_Takeoff,
4000,2022-05-13 16:28:15,-34.4376625082824,-59.0521548741747,0,,,89.378347348296,0.656168,0,0.0263765756472,0.124496723144,17,10,25.116,89.378347348296,0,0,0.0263765756472,0,0,0,239.2, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,2.692,78.08,89.378347348296,0,10,Assisted_Takeoff,
4100,2022-05-13 16:28:15,-34.4376625203727,-59.0521548788168,0,,,89.378347348296,0.656168,0,0.0306116807696,0.129123691796,17,10,25.116,89.378347348296,0,0,0.0306116807696,0,0,0,239.2, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.692,78.08,89.378347348296,0,10,Assisted_Takeoff,
4200,2022-05-13 16:28:16,-34.4376625228637,-59.0521548773323,0,,,89.378347348296,0.656168,0,0.031042323828,0.130136487104,17,10,25.116,89.378347348296,0,0,0.031042323828,0,0,0,239.2, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.692,78.08,89.378347348296,0,10,Assisted_Takeoff,
4300,2022-05-13 16:28:16,-34.4376625316389,-59.0521548840427,0,,,89.378347348296,0.656168,0,0.034811680904,0.133921592212,17,10,25.116,89.378347348296,0,0,0.034811680904,0,0,0,239.2, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.692,78.08,89.378347348296,0,10,Assisted_Takeoff,
4400,2022-05-13 16:28:16,-34.4376625425793,-59.0521548930577,0,,,89.378347348296,0.656168,0,0.039631891032,0.138747707852,17,10,25.116,89.378347348296,0,0,0.039631891032,0,0,0,239.2, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,2.692,78.08,89.378347348296,0,10,Assisted_Takeoff,
4500,2022-05-13 16:28:16,-34.4376625498798,-59.0521548988592,0,,,89.378347348296,0.656168,0,0.042810696908,0.14193241924,17,10,25.116,89.378347348296,0,0,0.042810696908,0,0,0,239.2, 1.3, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.692,78.08,89.378347348296,0,10,Assisted_Takeoff,
4600,2022-05-13 16:28:16,-34.4376625289214,-59.0521548918513,0,,,89.378347348296,0.656168,0,0.035528544444,0.149864506108,17,10,25.116,89.378347348296,0,0,0.042810696908,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.692,78.08,89.378347348296,0,10,Assisted_Takeoff,
4700,2022-05-13 16:28:16,-34.4376625377463,-59.0521549025681,0,,,89.378347348296,0.656168,0,0.040076444852,0.154421592868,17,10,25.116,89.378347348296,0,0,0.042810696908,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,2.692,78.08,89.378347348296,0,10,Assisted_Takeoff,
4800,2022-05-13 16:28:16,-34.4376625487437,-59.0521549145632,0,,,89.378347348296,0.656168,0,0.045473426652,0.159818246584,17,10,25.116,89.378347348296,0,0,0.045473426652,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.692,78.08,89.378347348296,0,10,Assisted_Takeoff,
4900,2022-05-13 16:28:16,-34.4376625315877,-59.0521549052256,0,,,89.378347348296,0.656168,0,0.038984253216,0.166679467276,17,10,25.158,89.378347348296,0,0,0.045473426652,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.168,78.08,89.378347348296,0,10,Assisted_Takeoff,
5000,2022-05-13 16:28:16,-34.4376625408225,-59.0521549138727,0,,,89.378347348296,0.656168,0,0.043212599808,0.170936357176,17,10,25.158,89.378347348296,0,0,0.045473426652,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,2.168,78.08,89.378347348296,0,10,Assisted_Takeoff,
5100,2022-05-13 16:28:17,-34.437662550731,-59.0521549207058,0,,,89.378347348296,0.656168,0,0.0472522981,0.175095478044,17,10,25.158,89.378347348296,0,0,0.0472522981,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,2.168,78.08,89.378347348296,0,10,Assisted_Takeoff,
5200,2022-05-13 16:28:17,-34.4376625610908,-59.0521549274463,0,,,89.378347348296,0.656168,0,0.051416012144,0.17938484826,17,10,25.158,89.378347348296,0,0,0.051416012144,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.168,78.08,89.378347348296,0,10,Assisted_Takeoff,
5300,2022-05-13 16:28:17,-34.4376625358996,-59.0521549069851,0,,,89.378347348296,0.656168,0,0.040481628592,0.190447512656,17,10,25.158,89.378347348296,0,0,0.051416012144,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.168,78.08,89.378347348296,0,10,Assisted_Takeoff,
5400,2022-05-13 16:28:17,-34.4376625433801,-59.0521549138464,0,,,89.378347348296,0.656168,0,0.04388287542,0.19386975686,17,10,25.158,89.378347348296,0,0,0.051416012144,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,2.168,78.08,89.378347348296,0,10,Assisted_Takeoff,
5500,2022-05-13 16:28:17,-34.4376625461775,-59.0521549210421,0,,,89.378347348296,0.656168,0,0.04611712746,0.196263457724,17,10,25.158,89.378347348296,0,0,0.051416012144,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.168,78.08,89.378347348296,0,10,Assisted_Takeoff,
5600,2022-05-13 16:28:17,-34.4376625251865,-59.052154917233,0,,,89.378347348296,0.656168,0,0.040087927792,0.20400755246,17,10,25.158,89.378347348296,0,0,0.051416012144,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.168,78.08,89.378347348296,0,10,Assisted_Takeoff,
5700,2022-05-13 16:28:17,-34.4376625306955,-59.0521549257307,0,,,89.378347348296,0.656168,0,0.043339568316,0.207259849152,17,10,25.158,89.378347348296,0,0,0.051416012144,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,2.168,78.08,89.378347348296,0,10,Assisted_Takeoff,
5800,2022-05-13 16:28:17,-34.4376625388187,-59.0521549339133,0,,,89.378347348296,0.656168,0,0.047126641928,0.211112867648,17,10,25.158,89.378347348296,0,0,0.051416012144,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.168,78.08,89.378347348296,0,10,Assisted_Takeoff,
5900,2022-05-13 16:28:17,-34.4376625496231,-59.0521549379345,0,,,89.378347348296,0.656168,0,0.050640093484,0.215236555444,17,10,25.14,89.378347348296,0,0,0.051416012144,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.176,78.08,89.378347348296,0,10,Assisted_Takeoff,
6000,2022-05-13 16:28:17,-34.4376625333778,-59.0521549214082,0,,,89.378347348296,0.656168,0,0.042979004,0.222973432332,17,10,25.14,89.378347348296,0,0,0.051416012144,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.176,78.08,89.378347348296,0,10,Assisted_Takeoff,
6100,2022-05-13 16:28:18,-34.4376625405886,-59.0521549290828,0,,,89.378347348296,0.656168,0,0.046452429308,0.226474088612,17,10,25.14,89.378347348296,0,0,0.051416012144,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,2.176,78.08,89.378347348296,0,10,Assisted_Takeoff,
6200,2022-05-13 16:28:18,-34.4376625483685,-59.0521549352475,0,,,89.378347348296,0.656168,0,0.049735565896,0.229864836752,17,10,25.14,89.378347348296,0,0,0.051416012144,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.176,78.08,89.378347348296,0,10,Assisted_Takeoff,
6300,2022-05-13 16:28:18,-34.4376625209189,-59.0521549106698,0,,,89.378347348296,0.656168,0,0.037573492016,0.2423146403,17,10,25.14,89.378347348296,0,0,0.051416012144,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.176,78.08,89.378347348296,0,10,Assisted_Takeoff,
6400,2022-05-13 16:28:18,-34.4376625295495,-59.052154916004,0,,,89.378347348296,0.656168,0,0.040835303144,0.245849089232,17,10,25.14,89.378347348296,0,0,0.051416012144,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.3,-1.2,0,98,,,,,,,2.176,78.08,89.378347348296,0,10,Assisted_Takeoff,
6500,2022-05-13 16:28:18,-34.4376625442555,-59.052154924432,0,,,89.378347348296,0.656168,0,0.046342521168,0.251783472624,17,10,25.14,89.378347348296,0,0,0.051416012144,0,0,0,239.2, 1.2, 1,0,0,1024,1024,1024,1024,0,0,0,0,242.4,-1.2,0,98,,,,,,,2.176,78.08,89.378347348296,0,10,Assisted_Takeoff,
