time(millisecond),datetime(utc),latitude,longitude
601600,2022-05-13 16:38:13,-34.4373638569946,-59.0519198744947
601700,2022-05-13 16:38:13,-34.4373638556924,-59.0519198445581
601800,2022-05-13 16:38:13,-34.4373638516831,-59.0519198399254
601900,2022-05-13 16:38:13,-34.4373638555896,-59.051919842169
602000,2022-05-13 16:38:13,-34.4373638692624,-59.0519198436648
602100,2022-05-13 16:38:14,-34.4373638789602,-59.0519198581657
602200,2022-05-13 16:38:14,-34.4373638921533,-59.0519198758243
602300,2022-05-13 16:38:14,-34.4373639030505,-59.0519198904706
602400,2022-05-13 16:38:14,-34.4373639131595,-59.0519199115155
602500,2022-05-13 16:38:14,-34.4373639207327,-59.0519199180596
602600,2022-05-13 16:38:14,-34.4373639263183,-59.051919919493
602700,2022-05-13 16:38:14,-34.4373639349881,-59.0519199098743
602800,2022-05-13 16:38:14,-34.4373639411905,-59.0519199076721
602900,2022-05-13 16:38:14,-34.4373639531843,-59.0519199011488
603000,2022-05-13 16:38:14,-34.4373639687761,-59.0519198956227
603100,2022-05-13 16:38:15,-34.4373639957448,-59.0519198831786
603200,2022-05-13 16:38:15,-34.4373640141809,-59.0519198845497
603300,2022-05-13 16:38:15,-34.4373640285734,-59.0519198808934
603400,2022-05-13 16:38:15,-34.4373640439253,-59.0519198694464
603500,2022-05-13 16:38:15,-34.4373640560561,-59.0519198652707
603600,2022-05-13 16:38:15,-34.4373640662679,-59.0519198616766
603700,2022-05-13 16:38:15,-34.4373640694206,-59.051919856379
603800,2022-05-13 16:38:15,-34.4373640680499,-59.0519198459708
603900,2022-05-13 16:38:15,-34.4373640696604,-59.0519198420859
604000,2022-05-13 16:38:15,-34.4373640673645,-59.0519198410056
604100,2022-05-13 16:38:15,-34.4373640609221,-59.0519198413588
604200,2022-05-13 16:38:16,-34.4373640502649,-59.0519198469472
604300,2022-05-13 16:38:16,-34.4373640398132,-59.0519198515593
604400,2022-05-13 16:38:16,-34.4373640260718,-59.0519198578333
604500,2022-05-13 16:38:16,-34.4373640117479,-59.0519198507906
604600,2022-05-13 16:38:16,-34.437363992318,-59.0519198491078
604700,2022-05-13 16:38:16,-34.4373639690502,-59.0519198466564
604800,2022-05-13 16:38:16,-34.437363947907,-59.0519198365183
604900,2022-05-13 16:38:16,-34.4373639253931,-59.051919832301
605000,2022-05-13 16:38:16,-34.4373639097327,-59.0519198361651
605100,2022-05-13 16:38:16,-34.4373638956486,-59.0519198500843
605200,2022-05-13 16:38:17,-34.4373638719353,-59.0519198630062
605300,2022-05-13 16:38:17,-34.4373638579883,-59.0519198802078
605400,2022-05-13 16:38:17,-34.437363841437,-59.0519198964329
605500,2022-05-13 16:38:17,-34.437363803297,-59.051919919223
605600,2022-05-13 16:38:17,-34.437363777322,-59.0519199364869
605700,2022-05-13 16:38:17,-34.4373637588859,-59.0519199503852
605800,2022-05-13 16:38:17,-34.4373637514841,-59.0519199648238
605900,2022-05-13 16:38:17,-34.4373637352069,-59.0519199793246
606000,2022-05-13 16:38:17,-34.4373637338019,-59.051920011401
606100,2022-05-13 16:38:18,-34.4373637310605,-59.0519200480894
606200,2022-05-13 16:38:18,-34.437363726777,-59.0519200793555
606300,2022-05-13 16:38:18,-34.437363725886,-59.0519201045346
606400,2022-05-13 16:38:18,-34.4373637253377,-59.0519201282803
606500,2022-05-13 16:38:18,-34.4373637222537,-59.0519201455234
606600,2022-05-13 16:38:18,-34.4373637178331,-59.0519201426149
606700,2022-05-13 16:38:18,-34.4373637226306,-59.0519201626419
606800,2022-05-13 16:38:18,-34.4373637290044,-59.0519201832298
606900,2022-05-13 16:38:18,-34.4373637280449,-59.051920205355
607000,2022-05-13 16:38:18,-34.4373637354468,-59.051920237556
607100,2022-05-13 16:38:19,-34.4373637467551,-59.0519202658306
607200,2022-05-13 16:38:19,-34.4373637599139,-59.0519202932949
607300,2022-05-13 16:38:19,-34.4373637790011,-59.0519203157318
607400,2022-05-13 16:38:19,-34.4373637978484,-59.0519203396852
607500,2022-05-13 16:38:19,-34.4373638101505,-59.051920375501
607600,2022-05-13 16:38:19,-34.4373638197112,-59.051920431323
607700,2022-05-13 16:38:19,-34.4373638333841,-59.0519204665572
607800,2022-05-13 16:38:19,-34.4373638408202,-59.0519204905314
607900,2022-05-13 16:38:19,-34.4373638402034,-59.0519204976987
608000,2022-05-13 16:38:19,-34.4373638377018,-59.051920499049
608100,2022-05-13 16:38:20,-34.4373638188888,-59.0519204862309
608200,2022-05-13 16:38:20,-34.43736379754,-59.0519204689878
608300,2022-05-13 16:38:20,-34.4373637766709,-59.0519204405471
608400,2022-05-13 16:38:20,-34.4373637582348,-59.0519204255268
608500,2022-05-13 16:38:20,-34.4373637347956,-59.0519204137475
608600,2022-05-13 16:38:20,-34.4373637100543,-59.0519203997453
608700,2022-05-13 16:38:20,-34.4373636799672,-59.0519203761242
608800,2022-05-13 16:38:20,-34.4373636583442,-59.0519203616442
608900,2022-05-13 16:38:20,-34.4373636332945,-59.0519203496363
609000,2022-05-13 16:38:20,-34.4373636064971,-59.0519203402669
609100,2022-05-13 16:38:20,-34.4373635696935,-59.0519203454606
609200,2022-05-13 16:38:21,-34.4373635463228,-59.0519203617896
609300,2022-05-13 16:38:21,-34.4373635395036,-59.0519203789496
609400,2022-05-13 16:38:21,-34.4373635344319,-59.0519203952163
609500,2022-05-13 16:38:21,-34.4373635395378,-59.0519204028615
609600,2022-05-13 16:38:21,-34.4373635437185,-59.0519204043157
609700,2022-05-13 16:38:21,-34.437363552354,-59.0519203986857
609800,2022-05-13 16:38:21,-34.4373635548213,-59.0519203939283
